500 104343
2 453 6.4
2 455 9.4
2 456 2.0
2 457 8.7
2 458 4.2
2 464 5.9
2 465 4.8
2 466 9.4
2 467 8.1
2 468 8.0
2 470 6.7
2 471 6.6
2 472 2.3
2 473 9.9
2 474 7.9
2 475 9.3
2 476 1.9
2 479 1.9
2 481 7.2
2 484 3.6
2 485 9.1
2 486 7.6
2 490 5.1
2 491 1.2
2 493 8.3
2 494 5.1
2 498 1.7
2 499 6.5
3 8 3.0
3 9 7.9
3 12 4.9
3 13 6.5
3 14 5.5
3 15 3.2
3 16 5.9
3 21 1.2
3 22 3.8
3 25 7.7
3 26 9.8
3 29 3.9
3 31 8.9
3 32 6.6
3 33 4.8
3 34 8.8
3 36 4.5
3 39 3.0
3 40 2.8
3 41 8.6
3 42 3.5
3 43 5.5
3 44 9.7
3 46 3.7
3 47 10.0
3 49 3.0
3 50 8.4
3 51 1.2
3 52 1.0
3 53 4.0
3 55 5.7
3 56 1.4
3 58 4.1
3 60 4.3
3 66 3.2
3 67 9.4
3 68 6.1
3 69 5.6
3 70 3.7
3 71 2.9
3 72 3.0
3 75 2.9
3 77 6.5
3 78 5.6
3 82 2.6
3 83 9.5
3 84 4.8
3 85 8.9
3 86 5.9
3 87 7.9
3 88 6.1
3 89 8.7
3 91 8.3
3 92 1.4
3 93 9.4
3 98 4.5
3 101 3.5
3 104 2.7
3 105 1.5
3 106 3.3
3 108 5.4
3 110 9.2
3 111 3.3
3 112 5.8
3 113 9.8
3 114 5.1
3 118 2.2
3 119 5.3
3 121 7.9
3 122 9.2
3 123 9.6
3 128 9.7
3 129 4.7
3 130 9.2
3 132 6.2
3 135 3.4
3 136 5.3
3 137 2.5
3 138 3.5
3 139 7.7
3 140 6.5
3 142 1.4
3 143 4.6
3 146 9.8
3 149 7.8
3 151 3.5
3 152 8.4
3 156 3.0
3 157 6.3
3 160 3.8
3 161 1.9
3 162 7.7
3 163 7.8
3 164 6.7
3 166 1.4
3 168 6.7
3 169 9.4
3 170 1.1
3 171 8.3
3 172 5.2
3 173 9.9
3 174 9.6
3 175 6.9
3 177 2.3
3 180 3.0
3 181 1.4
3 182 4.0
3 183 1.3
3 185 5.6
3 186 5.9
3 187 6.0
3 188 8.7
3 189 3.3
3 192 7.7
3 193 2.4
3 194 6.1
3 196 5.6
3 200 7.2
3 201 5.4
3 202 8.2
3 203 6.7
3 204 1.9
3 205 3.5
3 206 7.2
3 208 6.6
3 210 9.7
3 213 5.2
3 215 1.4
3 217 3.5
3 219 8.0
3 220 3.1
3 221 8.2
3 222 8.5
3 224 3.7
3 227 9.1
3 228 1.9
3 229 1.1
3 230 6.7
3 232 4.2
3 233 1.7
3 235 1.7
3 237 6.6
3 238 8.0
3 239 4.3
3 242 9.1
3 243 5.6
3 244 7.5
3 245 6.4
3 246 4.9
3 247 7.0
3 248 2.3
3 250 1.7
3 252 5.3
3 253 9.0
3 255 3.6
3 257 2.5
3 258 5.3
3 260 6.2
3 262 2.3
3 263 5.3
3 264 3.1
3 265 2.7
3 267 6.4
3 268 1.8
3 269 2.0
3 270 4.7
3 271 6.6
3 272 5.8
3 273 5.5
3 274 4.7
3 275 9.8
3 276 4.8
3 278 2.8
3 279 9.4
3 284 5.5
3 287 3.7
3 290 2.9
3 291 9.9
3 292 4.8
3 294 7.8
3 296 4.3
3 298 1.6
3 299 5.2
3 300 2.0
3 301 9.9
3 303 5.6
3 309 4.4
3 310 8.1
3 311 4.4
3 312 6.6
3 313 9.8
3 315 2.6
3 317 8.7
3 318 8.7
3 319 7.6
3 320 4.4
3 321 3.9
3 324 4.5
3 325 3.8
3 326 8.3
3 329 5.6
3 330 2.0
3 331 1.7
3 332 5.1
3 335 4.0
3 337 8.1
3 339 1.4
3 340 1.6
3 341 5.8
3 342 4.6
3 344 9.5
3 347 9.6
3 348 8.9
3 349 3.3
3 353 8.3
3 354 3.1
3 355 9.8
3 358 7.4
3 360 3.6
3 362 8.5
3 363 5.7
3 364 4.4
3 365 7.8
3 366 5.8
3 367 7.6
3 372 5.9
3 376 6.3
3 379 2.1
3 381 6.0
3 383 9.4
3 385 5.5
3 386 2.3
3 387 1.6
3 389 6.8
3 391 6.2
3 393 8.7
3 398 1.8
3 400 9.4
3 401 1.7
3 402 7.7
3 404 4.3
3 406 7.0
3 407 4.1
3 410 3.7
3 411 1.2
3 412 3.7
3 413 2.4
3 414 6.3
3 417 5.4
3 418 3.8
3 422 6.6
3 424 8.9
3 427 1.6
3 429 2.5
3 431 1.9
3 432 5.1
3 433 7.2
3 436 6.9
3 437 8.0
3 438 3.6
3 439 8.6
3 440 8.8
3 441 5.6
3 443 4.7
3 444 5.2
3 445 2.6
3 446 3.3
3 447 6.5
3 448 9.2
3 449 8.3
3 450 6.6
3 451 2.6
3 453 7.1
3 454 2.3
3 455 1.5
3 457 5.0
3 458 4.2
3 459 4.5
3 461 3.5
3 464 3.2
3 467 7.3
3 468 9.8
3 470 1.9
3 472 2.0
3 473 4.0
3 474 3.6
3 475 2.1
3 476 9.4
3 480 1.9
3 483 5.7
3 484 5.8
3 486 9.9
3 487 7.7
3 489 9.2
3 490 5.5
3 491 7.7
3 492 9.7
3 493 4.1
3 495 3.5
3 496 1.1
3 497 2.9
3 498 6.8
3 499 6.3
3 500 7.1
4 3 4.1
4 5 1.6
4 6 4.4
4 8 2.6
4 10 3.4
4 12 8.1
4 13 4.9
4 16 7.0
4 17 7.4
4 18 9.8
4 20 1.9
4 21 7.7
4 22 7.1
4 24 8.0
4 29 3.1
4 30 7.0
4 34 9.4
4 35 6.0
4 36 5.4
4 37 2.8
4 39 8.5
4 42 2.6
4 48 5.0
4 49 7.1
4 56 1.9
4 57 5.8
4 58 9.1
4 59 1.8
4 62 6.6
4 64 5.6
4 66 1.5
4 68 8.2
4 69 2.8
4 70 9.0
4 73 4.1
4 74 6.0
4 76 5.7
4 77 4.2
4 78 6.8
4 79 7.3
4 81 7.1
4 82 8.7
4 83 5.6
4 84 7.7
4 85 3.1
4 86 8.9
4 87 9.3
4 89 3.3
4 91 4.8
4 95 4.0
4 96 5.2
4 99 1.8
4 100 2.3
4 101 4.3
4 105 6.8
4 108 8.8
4 110 3.5
4 114 2.7
4 115 7.7
4 116 6.1
4 117 9.9
4 118 7.8
4 120 6.3
4 121 6.2
4 122 7.3
4 125 5.7
4 129 6.9
4 131 9.0
4 134 7.3
4 138 7.5
4 139 1.4
4 141 6.0
4 142 8.4
4 144 3.1
4 148 3.4
4 150 6.2
4 152 4.6
4 153 7.9
4 154 4.1
4 156 1.1
4 157 8.7
4 158 1.2
4 159 7.6
4 161 4.8
4 163 10.0
4 164 4.7
4 166 6.6
4 167 8.4
4 171 7.0
4 172 3.9
4 173 6.5
4 174 4.9
4 175 5.6
4 176 4.2
4 177 8.0
4 178 5.8
4 179 2.7
4 180 2.1
4 181 4.5
4 185 2.5
4 186 1.4
4 187 1.9
4 190 6.5
4 191 3.4
4 193 8.6
4 194 5.6
4 195 1.5
4 201 3.3
4 203 1.6
4 204 1.5
4 205 8.8
4 207 6.3
4 208 8.2
4 209 7.0
4 211 4.3
4 213 6.8
4 214 4.3
4 215 5.3
4 217 2.1
4 218 2.1
4 219 6.6
4 221 10.0
4 224 5.4
4 225 3.3
4 226 9.8
4 227 3.7
4 229 5.2
4 231 5.0
4 235 8.9
4 238 7.8
4 239 3.8
4 241 2.7
4 242 9.5
4 244 6.2
4 245 5.9
4 252 5.0
4 256 8.9
4 257 7.4
4 258 4.2
4 259 2.2
4 260 8.5
4 265 7.8
4 266 6.2
4 267 9.6
4 270 3.0
4 271 7.0
4 274 3.4
4 278 3.7
4 281 5.1
4 283 6.6
4 286 8.4
4 287 2.8
4 289 9.6
4 291 3.3
4 292 8.3
4 293 5.7
4 295 1.4
4 296 5.9
4 298 2.0
4 299 8.2
4 300 8.8
4 302 4.4
4 304 8.4
4 306 5.0
4 308 1.4
4 311 7.1
4 313 7.8
4 315 9.4
4 316 7.9
4 317 4.0
4 318 4.6
4 321 3.0
4 322 1.3
4 323 1.5
4 324 6.2
4 326 8.1
4 329 8.1
4 333 7.6
4 334 6.5
4 335 2.5
4 337 4.6
4 339 8.4
4 342 7.3
4 343 4.3
4 344 9.0
4 345 2.8
4 349 7.7
4 352 5.8
4 353 5.7
4 354 5.0
4 355 7.4
4 356 5.5
4 357 3.5
4 358 6.3
4 360 8.8
4 361 8.9
4 363 2.2
4 364 7.4
4 365 4.0
4 371 2.2
4 372 2.9
4 373 6.5
4 375 6.0
4 376 6.0
4 377 7.6
4 378 1.2
4 379 7.6
4 380 9.8
4 381 5.9
4 382 4.5
4 383 4.8
4 384 5.6
4 385 2.0
4 386 6.0
4 388 6.7
4 389 6.2
4 390 3.2
4 391 7.1
4 392 5.1
4 393 4.8
4 395 1.3
4 397 9.5
4 398 8.9
4 399 9.0
4 400 5.8
4 401 7.2
4 404 8.6
4 405 8.4
4 406 4.8
4 407 9.9
4 413 4.7
4 414 6.7
4 415 3.9
4 416 4.6
4 417 4.3
4 420 2.3
4 421 4.3
4 424 3.0
4 428 7.9
4 431 5.2
4 432 9.1
4 433 3.5
4 434 8.5
4 435 3.0
4 436 8.5
4 439 8.8
4 441 6.9
4 442 9.8
4 443 6.4
4 444 9.3
4 446 7.9
4 448 4.2
4 450 1.5
4 453 2.4
4 454 1.5
4 456 5.5
4 458 8.0
4 459 1.7
4 460 3.1
4 464 3.7
4 466 8.6
4 467 3.6
4 468 3.1
4 470 1.6
4 472 9.0
4 473 9.9
4 474 4.4
4 476 2.5
4 478 1.8
4 480 6.9
4 481 6.6
4 482 5.2
4 485 9.4
4 487 3.7
4 489 3.6
4 490 7.0
4 491 2.7
4 493 5.5
4 494 8.9
4 495 6.4
4 499 7.2
5 1 7.2
5 8 6.2
5 9 9.0
5 10 8.5
5 11 7.5
5 13 9.2
5 15 1.3
5 16 1.6
5 18 2.9
5 20 4.3
5 21 4.4
5 22 3.2
5 23 5.4
5 25 8.6
5 28 4.2
5 29 2.0
5 30 1.4
5 31 3.1
5 32 4.1
5 33 8.9
5 35 5.1
5 36 4.0
5 38 9.8
5 39 8.9
5 43 7.1
5 44 5.2
5 46 1.6
5 49 8.8
5 51 8.7
5 52 5.7
5 53 7.5
5 54 8.7
5 55 6.7
5 56 6.4
5 59 5.3
5 61 5.9
5 63 4.6
5 64 9.9
5 65 2.3
5 67 1.7
5 69 3.4
5 70 6.9
5 71 3.2
5 72 3.1
5 73 7.9
5 74 9.5
5 77 5.6
5 78 7.9
5 79 7.4
5 80 8.8
5 81 4.6
5 84 9.0
5 85 2.9
5 87 8.9
5 88 5.8
5 89 4.8
5 90 5.2
5 93 7.3
5 94 6.0
5 95 2.1
5 97 5.7
5 100 5.1
5 101 5.9
5 102 3.5
5 103 2.4
5 104 2.0
5 106 1.3
5 111 4.7
5 112 3.0
5 114 5.3
5 117 8.7
5 119 8.7
5 120 7.6
5 122 3.8
5 123 5.5
5 124 1.5
5 125 2.6
5 127 4.0
5 129 9.5
5 130 8.1
5 131 7.7
5 132 3.8
5 135 5.4
5 137 7.5
5 140 8.7
5 141 5.0
5 143 7.8
5 145 4.3
5 149 2.8
5 150 3.4
5 151 7.5
5 152 1.1
5 154 2.4
5 156 7.2
5 157 2.0
5 158 9.5
5 159 6.6
5 164 10.0
5 166 8.5
5 167 2.8
5 168 5.2
5 170 6.4
5 173 7.7
5 174 7.9
5 176 8.5
5 180 5.3
5 181 5.5
5 183 8.6
5 184 8.5
5 185 9.1
5 186 6.6
5 187 6.4
5 188 9.9
5 189 3.8
5 190 2.2
5 191 7.2
5 197 2.0
5 200 1.6
5 201 5.2
5 204 7.1
5 206 9.2
5 207 3.6
5 208 3.7
5 209 1.7
5 213 8.1
5 214 7.4
5 217 6.2
5 218 1.5
5 221 9.8
5 223 9.8
5 225 1.8
5 226 4.2
5 228 7.8
5 229 9.3
5 231 5.2
5 232 1.5
5 233 2.3
5 234 3.8
5 237 7.8
5 239 1.5
5 240 4.0
5 242 8.9
5 243 5.7
5 244 7.1
5 245 5.0
5 247 2.4
5 248 6.6
5 252 8.2
5 253 5.7
5 258 6.4
5 262 2.2
5 263 2.2
5 266 7.6
5 268 3.7
5 274 2.9
5 275 9.7
5 276 7.5
5 278 3.0
5 279 6.9
5 280 8.7
5 283 5.3
5 284 6.5
5 287 4.6
5 288 1.7
5 289 4.9
5 290 6.9
5 292 9.7
5 293 7.5
5 296 8.6
5 297 6.5
5 298 2.4
5 302 2.7
5 303 6.4
5 304 3.8
5 305 4.4
5 306 2.6
5 307 7.1
5 311 1.4
5 312 7.8
5 314 1.1
5 315 4.1
5 316 5.3
5 317 3.5
5 318 4.4
5 319 6.3
5 322 1.6
5 323 6.5
5 325 5.9
5 327 5.0
5 328 4.0
5 329 7.8
5 330 9.0
5 331 7.3
5 332 8.8
5 333 5.0
5 334 9.3
5 335 3.9
5 336 7.7
5 340 6.9
5 341 5.5
5 343 1.3
5 344 6.2
5 345 6.6
5 346 3.0
5 348 6.7
5 352 2.8
5 353 5.5
5 356 3.6
5 358 1.2
5 362 3.5
5 366 4.4
5 367 1.5
5 371 9.6
5 373 6.4
5 377 4.8
5 379 2.3
5 380 1.8
5 383 4.9
5 384 4.7
5 388 3.2
5 389 6.1
5 390 5.9
5 391 7.1
5 394 5.2
5 398 2.5
5 399 1.4
5 401 5.0
5 405 9.8
5 408 4.1
5 411 3.8
5 412 6.8
5 416 6.4
5 417 8.3
5 418 2.6
5 419 5.7
5 422 8.9
5 423 6.1
5 426 4.6
5 429 1.0
5 430 3.1
5 433 6.1
5 436 6.1
5 437 2.9
5 439 4.9
5 441 9.2
5 442 6.9
5 443 2.9
5 446 7.4
5 448 5.4
5 449 6.5
5 450 8.1
5 451 7.1
5 452 7.2
5 454 8.3
5 456 3.0
5 457 8.4
5 458 7.2
5 460 3.2
5 461 4.3
5 462 3.5
5 463 5.3
5 465 8.3
5 468 7.9
5 469 10.0
5 472 3.4
5 473 3.7
5 474 9.5
5 475 4.8
5 477 7.6
5 479 6.6
5 480 9.5
5 481 4.4
5 482 1.8
5 485 6.6
5 488 1.5
5 489 8.1
5 490 9.6
5 492 9.2
5 494 4.6
5 495 1.8
5 496 2.5
5 497 7.1
6 3 5.8
6 5 3.4
6 7 5.0
6 9 7.1
6 11 7.9
6 12 1.6
6 13 7.8
6 15 1.6
6 17 5.0
6 19 4.9
6 21 10.0
6 22 9.2
6 24 2.0
6 26 7.1
6 27 8.0
6 28 7.3
6 29 8.0
6 30 2.7
6 31 3.3
6 34 2.8
6 36 4.5
6 37 4.5
6 38 7.9
6 39 6.0
6 40 3.4
6 42 1.6
6 43 4.9
6 45 9.3
6 47 8.3
6 49 1.5
6 50 7.3
6 51 8.3
6 52 5.2
6 53 9.1
6 55 8.9
6 57 7.1
6 58 5.5
6 60 9.6
6 62 9.1
6 63 3.9
6 64 6.2
6 65 8.5
6 66 5.0
6 68 7.3
6 70 2.6
6 72 5.4
6 73 4.2
6 75 8.6
6 76 6.8
6 77 9.6
6 78 7.9
6 80 1.2
6 81 8.5
6 82 1.7
6 84 1.8
6 89 7.8
6 90 5.4
6 93 7.0
6 94 2.5
6 95 9.1
6 96 8.5
6 100 9.4
6 101 3.8
6 102 4.2
6 103 7.7
6 104 8.6
6 105 3.1
6 106 7.5
6 108 2.9
6 114 2.6
6 118 1.6
6 119 8.7
6 120 7.5
6 123 6.7
6 124 6.7
6 125 9.7
6 126 8.4
6 127 6.7
6 128 8.8
6 129 9.9
6 130 9.1
6 131 1.0
6 133 10.0
6 134 6.9
6 135 8.5
6 139 9.9
6 140 4.9
6 142 5.0
6 143 6.9
6 147 1.1
6 148 1.5
6 149 5.1
6 152 3.6
6 153 8.8
6 155 5.0
6 158 4.8
6 159 6.9
6 160 1.6
6 162 4.4
6 163 4.7
6 164 2.4
6 165 3.5
6 167 2.1
6 168 1.7
6 170 3.9
6 171 8.2
6 172 2.7
6 173 6.8
6 174 9.2
6 177 4.4
6 178 2.3
6 179 6.0
6 180 3.9
6 181 6.4
6 182 3.1
6 186 1.4
6 188 6.4
6 189 4.8
6 193 9.7
6 194 3.1
6 195 9.7
6 196 4.0
6 199 6.5
6 202 5.2
6 203 8.6
6 204 1.8
6 205 3.6
6 209 9.3
6 210 7.3
6 212 8.1
6 213 6.7
6 214 8.4
6 215 1.5
6 218 3.6
6 219 1.4
6 220 5.5
6 222 7.5
6 225 1.9
6 227 4.0
6 229 4.1
6 230 9.2
6 231 9.5
6 233 1.7
6 234 7.8
6 237 2.9
6 238 2.2
6 240 6.8
6 242 9.4
6 243 5.0
6 245 1.9
6 246 7.7
6 248 1.7
6 251 4.2
6 252 5.8
6 254 7.5
6 255 5.7
6 256 1.3
6 258 3.6
6 259 4.9
6 261 7.8
6 263 7.1
6 264 5.6
6 265 7.1
6 266 9.2
6 267 9.5
6 270 5.0
6 271 1.8
6 273 6.1
6 274 2.0
6 275 1.1
6 276 4.7
6 277 9.7
6 278 2.0
6 280 9.1
6 282 7.2
6 283 2.7
6 284 7.9
6 285 4.6
6 287 1.7
6 288 8.8
6 289 2.2
6 291 7.1
6 293 9.5
6 295 2.2
6 296 9.9
6 297 3.5
6 299 3.8
6 300 4.3
6 303 4.2
6 304 9.2
6 308 1.6
6 309 1.3
6 310 5.6
6 312 8.8
6 313 3.7
6 314 2.7
6 315 7.4
6 319 5.4
6 321 7.0
6 322 5.9
6 323 5.7
6 324 2.8
6 327 5.8
6 328 7.6
6 330 4.6
6 331 2.7
6 332 8.8
6 333 9.0
6 335 4.5
6 336 9.3
6 338 1.0
6 340 6.2
6 341 1.6
6 342 2.4
6 343 3.7
6 344 5.9
6 345 3.6
6 347 3.1
6 349 8.8
6 354 5.9
6 355 9.4
6 356 1.3
6 357 8.3
6 358 6.6
6 361 3.1
6 363 3.1
6 365 4.0
6 366 4.4
6 369 4.9
6 371 7.8
6 372 7.7
6 373 8.5
6 374 2.3
6 381 5.2
6 382 1.5
6 384 1.2
6 385 7.2
6 386 6.2
6 387 2.0
6 389 5.0
6 391 3.2
6 392 3.9
6 393 4.2
6 394 9.3
6 397 8.1
6 400 1.5
6 401 2.7
6 403 5.3
6 404 6.0
6 406 9.6
6 408 9.1
6 409 3.5
6 410 6.3
6 411 2.1
6 412 8.3
6 414 7.8
6 418 3.4
6 419 8.8
6 420 9.8
6 421 7.5
6 423 9.2
6 425 8.0
6 428 6.8
6 429 1.6
6 434 2.7
